Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,Chip Globals
Primitives/Primitives,0,0,18,2
counter0/Primitives,22,16,0,0
genCounters[100].counter/Primitives,22,16,0,0
genCounters[101].counter/Primitives,22,16,0,0
genCounters[102].counter/Primitives,22,16,0,0
genCounters[103].counter/Primitives,22,16,0,0
genCounters[104].counter/Primitives,22,16,0,0
genCounters[105].counter/Primitives,22,16,0,0
genCounters[106].counter/Primitives,22,16,0,0
genCounters[107].counter/Primitives,22,16,0,0
genCounters[108].counter/Primitives,22,16,0,0
genCounters[109].counter/Primitives,22,16,0,0
genCounters[10].counter/Primitives,22,16,0,0
genCounters[110].counter/Primitives,22,16,0,0
genCounters[111].counter/Primitives,22,16,0,0
genCounters[112].counter/Primitives,22,16,0,0
genCounters[113].counter/Primitives,22,16,0,0
genCounters[114].counter/Primitives,22,16,0,0
genCounters[115].counter/Primitives,22,16,0,0
genCounters[116].counter/Primitives,22,16,0,0
genCounters[117].counter/Primitives,22,16,0,0
genCounters[118].counter/Primitives,22,16,0,0
genCounters[119].counter/Primitives,22,16,0,0
genCounters[11].counter/Primitives,22,16,0,0
genCounters[120].counter/Primitives,22,16,0,0
genCounters[121].counter/Primitives,22,16,0,0
genCounters[122].counter/Primitives,22,16,0,0
genCounters[123].counter/Primitives,22,16,0,0
genCounters[124].counter/Primitives,22,16,0,0
genCounters[125].counter/Primitives,22,16,0,0
genCounters[126].counter/Primitives,22,16,0,0
genCounters[127].counter/Primitives,22,16,0,0
genCounters[128].counter/Primitives,22,16,0,0
genCounters[129].counter/Primitives,22,16,0,0
genCounters[12].counter/Primitives,22,16,0,0
genCounters[130].counter/Primitives,22,16,0,0
genCounters[131].counter/Primitives,22,16,0,0
genCounters[132].counter/Primitives,22,16,0,0
genCounters[133].counter/Primitives,22,16,0,0
genCounters[134].counter/Primitives,22,16,0,0
genCounters[135].counter/Primitives,22,16,0,0
genCounters[136].counter/Primitives,22,16,0,0
genCounters[137].counter/Primitives,22,16,0,0
